"title","link","description","pubDate","releaseDate","guid","episodeType","episode","itunes_title","author","explicit","image","enclosure","duration","subtitle","summary","clean"
"653: Crime Scene","https://www.thisamericanlife.org/653/crime-scene","","2018-07-31T16:33:05-04:00","2018-08-03T00:00:00-00:00","","Full","653","Crime Scene","This American Life","yes","","","","Every crime scene hides a story.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/653.mp3"
"652: ICE Capades","https://www.thisamericanlife.org/652/ice-capades","","2018-07-17T14:12:01-04:00","2018-07-20T00:00:00-00:00","","Full","652","ICE Capades","This American Life","yes","","","","Dispatches from a government agency in its tumultuous teenage years.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/652.mp3"
"651: If You Build It, Will They Come?","https://www.thisamericanlife.org/651/if-you-build-it-will-they-come","","2018-07-06T13:37:02-04:00","2018-07-13T00:00:00-00:00","","Full","651","If You Build It, Will They Come?","This American Life","yes","","","","A young preacher opens a new church.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/651.mp3"
"650: Change You Can Maybe Believe In","https://www.thisamericanlife.org/650/change-you-can-maybe-believe-in","","2018-06-22T10:20:03-04:00","2018-06-29T00:00:00-00:00","","Full","650","Change You Can Maybe Believe In","This American Life","yes","","","","Radical change comes to an Argentinian talk show.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/650.mp3"
"649: It's My Party and I'll Try If I Want To","https://www.thisamericanlife.org/649/its-my-party-and-ill-try-if-i-want-to","","2018-06-08T13:43:11-04:00","2018-06-22T00:00:00-00:00","","Full","649","It's My Party and I'll Try If I Want To","This American Life","yes","","","","Before Democrats slug it out with Republicans, they’re slugging out with each other.","",""
"648: Unteachable Moment","https://www.thisamericanlife.org/648/unteachable-moment","","2018-06-01T19:38:56-04:00","2018-06-08T00:00:00-00:00","","Full","648","Unteachable Moment","This American Life","yes","","","","People trying to learn something when no one is clear what the lesson is supposed to be.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/648.mp3"
"647: LaDonna","https://www.thisamericanlife.org/647/ladonna","","2018-05-18T11:56:25-04:00","2018-05-25T00:00:00-00:00","","Full","647","LaDonna","This American Life","yes","","","","A security guard at the airport notices something going wrong on the tarmac, and takes it upon herself to fix it.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/647.mp3"
"646: The Secret of My Death","https://www.thisamericanlife.org/646/the-secret-of-my-death","","2018-05-09T16:10:58-04:00","2018-05-18T00:00:00-00:00","","Full","646","The Secret of My Death","This American Life","yes","","","","The clues people find when trying to make sense of a death.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/646.mp3"
"645: My Effing First Amendment","https://www.thisamericanlife.org/645/my-effing-first-amendment","","2018-04-27T14:32:01-04:00","2018-05-04T00:00:00-00:00","","Full","645","My Effing First Amendment","This American Life","yes","","","","Conservative students don't feel like their ideas are welcome on campus. So they're fighting back.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/645.mp3"
"644: Random Acts of History","https://www.thisamericanlife.org/644/random-acts-of-history","","2018-04-20T20:24:24-04:00","2018-04-27T00:00:00-00:00","","Full","644","Random Acts of History","This American Life","yes","","","","Stories about people who accidentally bump into unsettling facts of history.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/644.mp3"
